source,negative,neutral,positive
aap,1,0,0
afaqs,3,1,0
afr,1,0,0
analyticsinsight,2,0,1
aol,2,0,0
asianews,1,0,0
bangaloremirror,3,0,0
bbc,1,0,1
bendbulletin,0,0,1
bestmediainfo,2,0,1
brandequity,8,0,7
business-standard,2,0,1
businesstoday,11,2,9
camerajabber,1,0,0
campaignindia,0,0,1
cheknews,1,0,0
cio,7,2,9
ciol,1,0,3
cnbctv18,1,0,0
cnet,1,0,1
computerweekly,1,0,0
conventuslaw,1,0,0
corporatecomplianceinsights,0,0,1
dailycamera,1,0,0
dailyexcelsior,1,0,0
dailyillini,0,0,1
deccanchronicle,2,0,3
devdiscourse,1,0,0
digit,4,0,0
diplomatie,0,0,1
dongascience,1,0,0
dqindia,3,0,4
dw,1,0,0
english,1,0,0
euronews,0,0,1
ewn,1,0,0
fedscoop,0,0,1
finance,1,0,1
financialexpress,16,0,12
firstpost,1,0,0
forbesindia,1,0,0
fortuneindia,1,0,0
freep,1,0,0
freepressjournal,8,0,3
geeky-gadgets,1,0,1
glamsham,1,0,0
greenleft,1,0,0
gulfnews,0,1,0
health,2,0,1
india,2,0,1
indianexpress,1,1,0
indianweb2,0,0,1
indiatimes,0,0,1
indiatvnews,7,0,1
indystar,0,0,1
infosecurity-magazine,1,0,0
ipwatchdog,1,0,0
jagranjosh,0,0,1
jsonline,1,0,0
justthenews,1,0,0
kashmirlife,1,0,0
lasvegassun,1,0,0
livelaw,1,0,0
livemint,13,0,12
marketingnewscanada,1,0,0
markets,0,1,2
medianama,12,0,8
medindia,1,0,0
mexiconewsdaily,1,0,0
mg,1,0,0
miragenews,1,0,0
money,2,0,0
moneycontrol,8,0,6
ncregister,0,0,1
ndtv,1,0,2
newindianexpress,3,0,3
news,2,0,3
news18,2,0,1
news24online,1,0,0
newsbytesapp,1,0,0
niemanlab,3,0,0
outlookbusiness,0,0,1
outlookindia,2,0,3
pbs,1,0,0
phillyvoice,0,0,1
poconorecord,1,0,0
psychologytoday,0,1,1
rappler,1,0,0
sapeople,1,0,0
scroll,1,0,0
scu,2,0,0
searchengineland,0,0,1
securityboulevard,1,0,0
sify,4,0,0
siliconindia,1,0,0
snhu,1,0,0
starnewsonline,0,1,0
technofaq,0,0,1
techradar,0,0,1
techstory,1,0,0
techuk,1,0,0
telecom,8,0,2
telegraphindia,3,0,0
tennessean,0,0,1
texastribune,1,0,0
thedailystar,1,0,0
thedebrief,1,0,0
thehansindia,0,1,0
thehealthsite,1,0,0
thehindu,20,0,2
thehindubusinessline,6,0,7
themobileindian,1,0,0
thenews,0,0,1
theprint,1,0,0
theweek,0,0,1
timesofindia,25,0,18
tribune,0,0,1
tribuneindia,1,0,0
uk,1,0,0
uniindia,0,1,0
usnews,2,0,2
wbez,1,0,0
wshu,0,0,1
wsls,0,0,1
yahoo,1,0,2
ydr,1,0,0
yehey,1,0,0
zdnet,0,0,1
zeebiz,1,0,0
